split,array_index,source_index,case_id,group,group_id
train,0,2342,3343,cross,0
train,1,554,1555,cross,0
train,2,1243,2244,cross,0
train,3,780,1781,cross,0
train,4,2142,3143,cross,0
train,5,2911,3912,cross,0
train,6,1926,2927,cross,0
train,7,1722,2723,cross,0
train,8,1538,2539,cross,0
train,9,1405,2406,cross,0
train,10,2208,3209,cross,0
train,11,1143,2144,cross,0
train,12,889,1890,cross,0
train,13,1283,2284,cross,0
train,14,2517,3518,cross,0
train,15,1772,2773,cross,0
train,16,175,1176,cross,0
train,17,209,1210,cross,0
train,18,498,1499,cross,0
train,19,250,1251,cross,0
train,20,1407,2408,cross,0
train,21,510,1511,cross,0
train,22,178,1179,cross,0
train,23,1792,2793,cross,0
train,24,2353,3354,cross,0
train,25,2166,3167,cross,0
train,26,214,1215,cross,0
train,27,1566,2567,cross,0
train,28,1345,2346,cross,0
train,29,1467,2468,cross,0
train,30,1781,2782,cross,0
train,31,1087,2088,cross,0
train,32,2824,3825,cross,0
train,33,298,1299,cross,0
train,34,1785,2786,cross,0
train,35,422,1423,cross,0
train,36,2842,3843,cross,0
train,37,1585,2586,cross,0
train,38,1052,2053,cross,0
train,39,2172,3173,cross,0
train,40,514,1515,cross,0
train,41,191,1192,cross,0
train,42,473,1474,cross,0
train,43,2550,3551,cross,0
train,44,530,1531,cross,0
train,45,1078,2079,cross,0
train,46,1077,2078,cross,0
train,47,1636,2637,cross,0
train,48,1760,2761,cross,0
train,49,1029,2030,cross,0
train,50,2355,3356,cross,0
train,51,2246,3247,cross,0
train,52,367,1368,cross,0
train,53,2160,3161,cross,0
train,54,1518,2519,cross,0
train,55,2002,3003,cross,0
train,56,47,1048,cross,0
train,57,2204,3205,cross,0
train,58,1919,2920,cross,0
train,59,1511,2512,cross,0
train,60,158,1159,cross,0
train,61,1870,2871,cross,0
train,62,2023,3024,cross,0
train,63,2282,3283,cross,0
train,64,2526,3527,cross,0
train,65,2551,3552,cross,0
train,66,1103,2104,cross,0
train,67,519,1520,cross,0
train,68,2376,3377,cross,0
train,69,2369,3370,cross,0
train,70,2952,3953,cross,0
train,71,1088,2089,cross,0
